contest_type,question_no,q_rating,accuracy,avg_solving_time
1,1,-1,0,0
1,1,-1,0,0
1,1,-1,0,0
2,1,-1,0.897151134717528,1582.24578399713
2,2,-1,0.463045019496632,2797.94105263158
2,3,-1,0.469287173939175,2485.67879098361
2,4,-1,0.751176163094616,1146.54070981211
2,5,-1,0.451303155006859,3640.06079027356
2,6,-1,0.747368421052632,3059.77464788732
2,7,-1,0.666666666666667,5997
1,1,1600,0.984962406015038,795.984732824428
1,2,1700,0.990022172949002,1919.5431131019
1,3,2300,0.796703296703297,2747.44137931034
1,4,2500,0.760299625468165,2412.92610837438
1,5,2900,0.924528301886793,2877.87755102041
1,6,3300,1,3065.75
2,1,800,0.941467384499812,1103.71593855974
2,2,1100,0.689893005570784,2693.00384516791
2,3,1600,0.666576964477933,2524.15058538555
2,4,1700,0.790149892933619,3283.96386630533
2,5,2300,0.474576271186441,3244.03571428571
2,6,2500,0.291666666666667,3247
2,1,800,0.842307437578648,1411.41712533417
2,2,1200,0.566566135286514,2444.75680608365
2,3,1900,0.432023079697079,2347.55592654424
2,4,1600,0.589070567986231,2224.98027757487
2,5,2400,0.432,3604.81481481481
2,6,2500,0.346153846153846,2683.81481481481
2,1,800,0.933897550111359,1194.46866355051
2,2,900,0.834016188667932,1461.59753175174
2,3,2000,0.708138447146866,3268.20211360634
2,4,1800,0.234598123215014,2526.96695652174
2,5,2100,0.912213740458015,2052.01255230126
2,6,2800,0.739130434782609,3686.70588235294
2,1,1000,0.719421618204804,2072.22350356947
2,2,1300,0.733445639497214,2620.2648409894
2,3,2000,0.757477768795473,3584.33404482391
2,4,2500,0.071351351351351,3750.31818181818
2,5,2700,0.269230769230769,3823.42857142857
3,1,800,0.968352540753568,1304.52179811309
3,2,800,0.757367758186398,1536.34148166625
3,3,1000,0.970073225087552,1609.36308937753
3,4,1200,0.542377520299243,1285.97056349874
3,5,1400,0.739506486899008,1887.05951152391
3,6,1600,0.797354179194227,1867.96153846154
3,7,2200,0.227383863080685,1784.10752688172
3,8,2200,0.172413793103448,2202.8
0,1,800,0.857805767318528,1507.10732225657
0,2,1000,0.704463913224864,1921.18050455999
0,3,1400,0.81647582697201,2171.34437086093
0,4,1500,0.766180758017493,2703.56773211568
0,5,2200,0.821705426356589,3699.34366576819
0,6,2600,0.510250569476082,3651.58482142857
0,7,2700,0.77,2723.0974025974
0,8,3500,0.083333333333333,4503
0,9,3400,0.125,4988.75
2,1,800,0.84861932938856,1093.35859550095
2,2,800,0.967803980598762,1508.24151041217
2,3,1400,0.564152518786529,2136.19536260483
2,4,1600,0.752533783783784,1985.9165731388
2,5,2700,0.163265306122449,3353.25
2,6,3200,0.210526315789474,3478
1,1,800,0.946241542311614,1309.88000783622
1,2,1200,0.69828869047619,2556.93375954537
1,3,1400,0.896692679301375,2349.17074181517
1,4,1800,0.689316860465116,2707.81971534001
1,5,2500,0.594882729211087,4306.56272401434
1,6,3200,0.714285714285714,3191.6
1,7,3300,0.52,2275.07692307692
1,8,3500,0,0
2,1,800,0.861876495082839,1219.02847450658
2,2,1500,0.373142792332993,2329.06382978723
2,3,1700,0.499482669425763,2967.76903158985
2,4,2100,0.339181286549708,2781.08620689655
2,5,2500,0.285714285714286,2997.11111111111
2,1,800,0.858485499462943,1119.89813366698
2,2,1200,0.987701040681173,1766.49195402299
2,3,1600,0.656168737359145,3028.35358872743
2,4,2000,0.448132780082988,3458.73148148148
2,5,2700,0.230769230769231,4291.33333333333
1,1,1900,0.831001076426265,1815.92357512953
1,2,1800,0.955029585798817,2436.48327137546
1,3,2500,0.488317757009346,3388.995215311
1,4,3000,0.805555555555556,2678.10344827586
1,5,3100,0.651162790697674,3429.10714285714
1,6,3500,0.333333333333333,1695
2,1,800,0.9841881989973,904.57578369906
2,2,1100,0.678054015381864,2270.35729359008
2,3,1800,0.336513846869909,2749.87136929461
2,4,1900,0.296008294453084,3156.20490367776
2,5,1800,0.742990654205607,3138.30188679245
2,6,2500,0.142857142857143,4942
2,1,800,0.968433863238762,852.084275840402
2,2,1100,0.846805736636245,1781.37990762125
2,3,1100,0.850823160488297,1825.22495721996
2,4,1600,0.58824848620767,2266.83606557377
2,5,2100,0.719874804381847,2589.4
2,6,2700,0.827586206896552,2882.33333333333
2,7,2700,0.238532110091743,3540.19230769231
2,1,800,0.949259604432018,1300.54194392931
2,2,1400,0.758635863586359,2216.75319025522
2,3,1600,0.551960784313726,2279.98223801066
2,4,2000,0.489307100085543,2563.6013986014
2,5,2300,0.419811320754717,2775.77528089888
2,6,2500,0.071428571428572,3046.58823529412
3,1,800,0.983769161406673,1148.84128886695
3,2,800,0.952350050987299,1639.16334079626
3,3,1200,0.626603457891801,2115.53426791277
3,4,1200,0.696738022426096,1950.34235552304
3,5,1600,0.620709714950553,2084.99812558575
3,6,1900,0.714922048997773,1634.2523364486
3,7,1700,0.348137535816619,1700.37860082305
4,1,3100,0.8,8286.5
4,2,2600,0.303867403314917,4414.85454545455
4,3,2900,0.523809523809524,3321.36363636364
4,4,2100,0.497206703910615,3516.62921348315
4,5,2700,0.592592592592593,4944.3125
4,6,2800,0.5,4044
4,7,2100,0.70281124497992,4491.52571428571
4,8,3200,0.142857142857143,2488
4,9,2700,0.260869565217391,4136.95833333333
4,10,2700,0.434782608695652,4332.8
4,11,1200,0.838157894736842,4670.24803767661
1,1,1600,0.969756097560976,1204.90744466801
1,2,1700,0.978809283551968,1598.83505154639
1,3,2200,0.733423545331529,2443.85608856089
1,4,2600,0.580882352941176,3141.20886075949
1,5,3100,0.923076923076923,2884.79166666667
1,6,3500,1,2995
2,1,800,0.814022413633417,1658.40459665491
