contest_id,q_rating,contest_type,question_no,accuracy,avg_solving_time,sub_ratio,tried_but_cannot_solved,total_participant,total_correct_sub_for_each_q,total_sub_for_each_q,total_time_to_sove_q
1204,1000,2,1,0.7414974619289341,1313.0042786239944,0.724578373015873,2037,8064,5843,7880,7671884
1204,900,2,2,0.9608494654724068,1497.625319500827,0.8247767857142857,271,8064,6651,6922,9960706
1204,1700,2,3,0.7447447447447447,2886.2001008064517,0.24603174603174602,680,8064,1984,2664,5726221
1204,2000,2,4,0.5388692579505301,2129.7245901639344,0.07564484126984126,522,8064,610,1132,1299132
1204,2100,2,5,0.78,908.7884615384615,0.05803571428571429,132,8064,468,600,425313
1204,2300,2,6,0.6702127659574468,2893.4444444444443,0.0078125,31,8064,63,94,182287
1205,1200,1,1,0.9947712418300654,976.6425755584756,0.9883116883116884,4,770,761,765,743225
1205,1900,1,2,0.6984572230014026,2767.8172690763054,0.6467532467532467,215,770,498,713,1378373
1205,2400,1,3,0.6784565916398714,3926.549763033175,0.274025974025974,100,770,211,311,828502
1205,2700,1,4,0.5432098765432098,2294.1363636363635,0.05714285714285714,37,770,44,81,100942
1205,3100,1,5,0.7,2760.0,0.00909090909090909,3,770,7,10,19320
1205,3400,1,6,1.0,1457.0,0.0012987012987012987,0,770,1,1,1457
1206,800,2,1,0.9411114183024606,820.3093419506463,0.9208710942783714,426,7393,6808,7234,5584666
1206,900,2,2,0.8599684678228465,1309.4978333333333,0.8115785202218314,977,7393,6000,6977,7856987
1206,1200,2,3,0.908675799086758,2304.814288835482,0.6190991478425538,460,7393,4577,5037,10549135
1206,1900,2,4,0.30799735624586916,3576.5729613733906,0.06303259840389558,1047,7393,466,1513,1666683
1206,2400,2,5,0.16,4550.916666666667,0.001623157040443663,63,7393,12,75,54611
1206,2700,2,6,0.09523809523809523,5023.5,0.00027052617340727714,19,7393,2,21,10047
1203,1000,3,1,0.856651770367824,1736.1318218298554,0.7428826948874646,834,6709,4984,5818,8652881
1203,1200,3,2,0.7416579223504722,1819.7906055461233,0.5267551050827247,1231,6709,3534,4765,6431140
1203,1300,3,3,0.5775254502740799,1695.5433898305084,0.43970785511998806,2158,6709,2950,5108,5001853
1203,1600,3,4,0.5175732217573221,1826.1576394502829,0.18437919212997467,1153,6709,1237,2390,2258957
1203,1700,3,5,0.4827586206896552,1442.0545112781954,0.07929646743180802,570,6709,532,1102,767173
1203,1500,3,6,0.5978403141361257,2079.391351943076,0.2723207631539723,1229,6709,1827,3056,3799048
1203,2100,3,7,0.10307414104882459,2309.6666666666665,0.00849605008197943,496,6709,57,553,131651
1203,2300,3,8,0.1282051282051282,1622.95,0.002981070204203309,136,6709,20,156,32459
1200,800,2,1,0.89732208906643,1009.3577906018137,0.8773325618400116,694,6913,6065,6759,6121755
1200,1200,2,2,0.7661345108695652,1859.5047661272445,0.6525386952119195,1377,6913,4511,5888,8388226
