contest_type,question_no,q_rating,accuracy,avg_solving_time
1.0,1.0,1600.0,0.9849624060150376,795.9847328244275
1.0,2.0,1700.0,0.9900221729490022,1919.5431131019036
1.0,3.0,2300.0,0.7967032967032966,2747.441379310345
1.0,4.0,2500.0,0.7602996254681648,2412.926108374384
1.0,5.0,2900.0,0.9245283018867925,2877.877551020408
1.0,6.0,3300.0,1.0,3065.75
2.0,1.0,-1.0,0.9414673844998122,1103.7159385597447
2.0,2.0,-1.0,0.6898930055707844,2693.0038451679056
2.0,3.0,1600.0,0.6665769644779332,2524.150585385547
2.0,4.0,1700.0,0.7901498929336188,3283.9638663053297
2.0,5.0,2300.0,0.4745762711864407,3244.035714285714
2.0,6.0,2500.0,0.2916666666666667,3247.0
2.0,1.0,800.0,0.8423074375786476,1411.417125334172
2.0,2.0,1200.0,0.5665661352865144,2444.75680608365
2.0,3.0,1900.0,0.432023079697079,2347.5559265442403
2.0,4.0,1600.0,0.5890705679862306,2224.980277574872
2.0,5.0,2400.0,0.432,3604.814814814815
2.0,6.0,2500.0,0.34615384615384615,2683.814814814815
2.0,1.0,800.0,0.9338975501113586,1194.4686635505104
2.0,2.0,900.0,0.8340161886679325,1461.5975317517373
2.0,3.0,2000.0,0.7081384471468662,3268.202113606341
2.0,4.0,1800.0,0.23459812321501428,2526.966956521739
2.0,5.0,2100.0,0.9122137404580153,2052.0125523012553
2.0,6.0,2800.0,0.7391304347826086,3686.705882352941
2.0,1.0,1000.0,0.719421618204804,2072.2235035694675
2.0,2.0,1300.0,0.733445639497214,2620.264840989399
2.0,3.0,2000.0,0.7574777687954729,3584.334044823906
2.0,4.0,2500.0,0.07135135135135136,3750.318181818182
2.0,5.0,2700.0,0.2692307692307692,3823.4285714285716
3.0,1.0,800.0,0.9683525407535678,1304.521798113091
3.0,2.0,800.0,0.757367758186398,1536.341481666251
3.0,3.0,1000.0,0.9700732250875518,1609.3630893775298
3.0,4.0,1200.0,0.5423775202992428,1285.9705634987383
3.0,5.0,1400.0,0.7395064868990079,1887.0595115239078
3.0,6.0,1600.0,0.7973541791942274,1867.9615384615386
3.0,7.0,2200.0,0.2273838630806846,1784.1075268817203
3.0,8.0,2200.0,0.1724137931034483,2202.8
1.0,1.0,800.0,0.8578057673185283,1507.1073222565688
1.0,2.0,1000.0,0.7044639132248645,1921.1805045599906
1.0,3.0,1400.0,0.8164758269720102,2171.344370860927
1.0,4.0,1500.0,0.7661807580174927,2703.5677321156772
1.0,5.0,2200.0,0.8217054263565892,3699.343665768194
1.0,6.0,2600.0,0.510250569476082,3651.5848214285716
1.0,7.0,2700.0,0.77,2723.0974025974024
1.0,8.0,3500.0,0.08333333333333333,4503.0
1.0,9.0,3400.0,0.125,4988.75
2.0,1.0,800.0,0.8486193293885601,1093.3585955009546
2.0,2.0,800.0,0.9678039805987624,1508.2415104121662
2.0,3.0,1400.0,0.5641525187865294,2136.195362604835
2.0,4.0,1600.0,0.7525337837837838,1985.9165731387955
2.0,5.0,2700.0,0.16326530612244897,3353.25
2.0,6.0,3200.0,0.21052631578947367,3478.0
1.0,1.0,800.0,0.9462415423116137,1309.8800078362228
1.0,2.0,1200.0,0.6982886904761905,2556.933759545374
1.0,3.0,1400.0,0.896692679301375,2349.1707418151677
1.0,4.0,1800.0,0.6893168604651163,2707.8197153400106
1.0,5.0,2500.0,0.5948827292110874,4306.562724014337
1.0,6.0,3200.0,0.7142857142857143,3191.6
1.0,7.0,3300.0,0.52,2275.076923076923
